gene	R2_batch	R2_group	uniq_batch	uniq_group	dominant
ENSMUSG00000009687	0.0739	0.1080	0.0801	0.1141	group
ENSMUSG00000109378	0.0349	0.1732	0.0417	0.1801	group
ENSMUSG00000083421	0.0735	0.0697	0.0768	0.0729	batch
ENSMUSG00000014444	0.0064	0.0103	0.0069	0.0108	group
ENSMUSG00000028883	0.4403	0.0060	0.4366	0.0023	batch
ENSMUSG00000027849	0.1112	0.0903	0.1129	0.0919	batch
ENSMUSG00000022032	0.0001	0.0875	0.0000	0.0874	group
ENSMUSG00000040364	0.0402	0.1380	0.0471	0.1448	group
ENSMUSG00000071398	0.0178	0.1288	0.0181	0.1291	group
ENSMUSG00000026649	0.0540	0.1278	0.0561	0.1299	group
ENSMUSG00000041046	0.0147	0.0473	0.0173	0.0498	group
ENSMUSG00000084911	0.3873	0.0617	0.4041	0.0785	batch
ENSMUSG00000023191	0.0367	0.1818	0.0449	0.1900	group
ENSMUSG00000116594	0.2275	0.0702	0.2380	0.0807	batch
ENSMUSG00000074634	0.1048	0.0040	0.1067	0.0058	batch
ENSMUSG00000040287	0.0496	0.1356	0.0576	0.1435	group
ENSMUSG00000024027	0.1087	0.0404	0.1049	0.0366	batch
ENSMUSG00000086429	0.8609	0.0041	0.8657	0.0089	batch
ENSMUSG00000038112	0.0296	0.0851	0.0351	0.0906	group
ENSMUSG00000006574	0.0358	0.0802	0.0330	0.0774	group
ENSMUSG00000051149	0.5848	0.0117	0.5812	0.0080	batch
ENSMUSG00000111394	0.1995	0.1629	0.2185	0.1819	batch
ENSMUSG00000102865	0.0769	0.0494	0.0801	0.0526	batch
ENSMUSG00000043164	0.0920	0.1302	0.0947	0.1328	group
ENSMUSG00000035649	0.1306	0.1648	0.1451	0.1793	group
ENSMUSG00000029563	0.0635	0.0272	0.0606	0.0243	batch
ENSMUSG00000061028	0.1088	0.1178	0.1198	0.1288	group
ENSMUSG00000034486	0.0535	0.0274	0.0570	0.0309	batch
ENSMUSG00000020904	0.0069	0.0868	0.0057	0.0856	group
ENSMUSG00000028294	0.0297	0.0648	0.0286	0.0638	group
ENSMUSG00000021337	0.0660	0.1592	0.0701	0.1634	group
ENSMUSG00000084950	0.1583	0.0907	0.1698	0.1022	batch
ENSMUSG00000048416	0.0207	0.0820	0.0209	0.0822	group
ENSMUSG00000095332	0.2755	0.0705	0.2901	0.0851	batch
ENSMUSG00000072893	0.0367	0.1245	0.0434	0.1312	group
ENSMUSG00000046056	0.0721	0.2492	0.0842	0.2613	group
ENSMUSG00000110996	0.2541	0.0226	0.2492	0.0177	batch
ENSMUSG00000070427	0.0943	0.1037	0.1029	0.1123	group
ENSMUSG00000100131	0.6371	0.0342	0.6527	0.0497	batch
ENSMUSG00000028047	0.0447	0.1084	0.0517	0.1154	group
ENSMUSG00000027677	0.2968	0.1492	0.3182	0.1705	batch
ENSMUSG00000018554	0.1334	0.1148	0.1448	0.1261	batch
ENSMUSG00000104362	0.2602	0.1153	0.2765	0.1316	batch
ENSMUSG00000002930	0.0010	0.0538	0.0017	0.0544	group
ENSMUSG00000036131	0.0308	0.0981	0.0343	0.1015	group
ENSMUSG00000026686	0.0001	0.0668	0.0001	0.0668	group
ENSMUSG00000037868	0.0185	0.0011	0.0181	0.0007	batch
ENSMUSG00000054889	0.0025	0.0120	0.0030	0.0124	group
ENSMUSG00000038257	0.4308	0.0041	0.4280	0.0014	batch
ENSMUSG00000085396	0.1428	0.1665	0.1588	0.1825	group
ENSMUSG00000031548	0.0040	0.0355	0.0039	0.0355	group
ENSMUSG00000111390	0.1650	0.1174	0.1786	0.1310	batch
ENSMUSG00000034009	0.3737	0.0196	0.3833	0.0292	batch
ENSMUSG00000075014	0.0204	0.0468	0.0196	0.0460	group
ENSMUSG00000072845	0.0048	0.0340	0.0046	0.0338	group
ENSMUSG00000000392	0.0375	0.0497	0.0367	0.0490	group
ENSMUSG00000033792	0.0472	0.0320	0.0451	0.0299	batch
ENSMUSG00000022194	0.0702	0.2253	0.0825	0.2376	group
ENSMUSG00000019737	0.0556	0.1883	0.0654	0.1981	group
